|   Numero de Cidadao | Nome(s) Próprio(s) e Apelido(s)         | Concelho de Residência   | Profissão                                                                     |
|            39317835 | Geraldina Carol Telinhos Bouças         | Alcoutim                 | Operador de Máquina de Pintura – Calçado                                      |
|            10749361 | Levi Milheiro                           | Batalha                  | Abatjoureiro                                                                  |
|            16478485 | Edgar Villela                           | Salvaterra De Magos      | Maleiro, Caixa Auxiliar Volante                                               |
|            48720312 | Arcelino Eleutério Barcelos             | Vila Viçosa              | Operador de Máquina de Lavagem de Grades e Garrafas                           |
|            40028542 | Dânia Délia Marreiro                    | Faro                     | Operador de Ensaque – Rações para Animais                                     |
|            67651912 | Isabel Palma                            | Ourém                    | Caixa de Parques de Estacionamento                                            |
|            02555347 | Domingos Urraca Minho Berenguer         | Viana Do Castelo         | Sarilheiro                                                                    |
|            18410157 | Erico Augusto França                    | Crato                    | Encenador                                                                     |
|            65854382 | Januário Calvino Guedelha               | Alter Do Chão            | Montador de Isolamentos                                                       |
|            01034589 | Leónidas Figueira                       | Porto Santo              | Lixador – Calçado                                                             |
|            80690318 | Priscilo Cleide Furquim Ornellas        | Beja                     | Especialista das Ciências Políticas                                           |
|            14785394 | Andreia Amaro Jácome                    | Valongo                  | Agente Comercial                                                              |
|            05762607 | Mavilde Diva Campos Dourado             | Castanheira De Pêra      | Técnico de Emprego                                                            |
|            88846192 | Priscilo Isa Faia                       | Elvas                    | Forneiro – Fundidor de Fornos de Segunda Fusão                                |
|            45222317 | Elsa Cidália Chousa Monte               | Barreiro                 | Operador de Misturador – Leite                                                |
|            47521995 | Vasco Orlando Rico Pasos                | Vila Nova De Paiva       | Assedador de Fibras                                                           |
|            36456251 | Bebiana Lucrécia Keil Bencatel          | Santa Comba Dão          | Colhedor de Vidro                                                             |
|            70976919 | Custódia Belmira Blanco Serralheiro     | Sesimbra                 | Palhaço                                                                       |
|            63192029 | Jacy Dora Bogalho Marreiro              | Sardoal                  | Óptico-Optometrista                                                           |
|            31887975 | Maura Dúnia Salgueiro                   | Mafra                    | Retorcedor                                                                    |
|            95532244 | Benito Rafaela Bettencourt Villela      | Castelo De Vide          | Encarregado – Preparação de Fibras                                            |
|            58621150 | Muriel Gervásio Lins                    | Silves                   | Técnico de Electromedicina                                                    |
|            32252783 | Salvador Semedo                         | Vila Nova De Foz Côa     | Electromecânico de Elevadores e Aparelhos Similares                           |
|            10544149 | Olímpia Veloso                          | Vila Franca Do Campo     | Tractorista Agrícola (Condutor de Máquinas Agrícolas)                         |
|            47891861 | Calebe Lessa                            | Odivelas                 | Operador de Recuperação e Injecção de Leveduras – Cerveja                     |
|            93800842 | Guilhermina Liana Cesário Caiado        | Velas                    | Operadores de Instalações de Tratamentos Químicos                             |
|            61835989 | Lisandro Moura                          | Marvão                   | Operador de Secador – Aglomerados de Madeira                                  |
|            42445852 | Nelma Alvim                             | Trancoso                 | Operadores de "Robots" Industriais                                            |
|            69132540 | Jacob Rangel                            | Oliveira De Azeméis      | Outros Operadores de Máquinas do Fabrico de Artigos em Madeira e Cortiça      |
|            12326679 | Marlene Georgina Félix                  | Vimioso                  | Assistente de Bordo                                                           |
|            84594971 | Beatriz Jocelina Eiró                   | Sernancelhe              | Outros Matemáticos e Especialistas Similares                                  |
|            79977487 | Hélia Carina Rebimbas                   | Povoação                 | Torcedor (Retorcedor)                                                         |
|            92606647 | Estevão Coelho                          | Melgaço                  | Engenheiros Agrónomos e Engenheiros Técnicos Agrários                         |
|            11147735 | Juvelina Palmira Brites                 | Vila Do Bispo            | Separador de Trabalho – Confecções                                            |
